episode_E,Exploration Evolution
2224,0.027777777777777776
2225,0.140625
2226,0.21428571428571427
2227,0.08571428571428572
2228,0.25
2229,0.0967741935483871
2230,0.2727272727272727
2231,0.1232876712328767
2232,0.2222222222222222
2233,0.18518518518518517
2234,0.22950819672131148
2235,0.06666666666666667
2236,0.16216216216216217
2237,0.1111111111111111
2238,0.045454545454545456
2239,0.06060606060606061
2240,0.05
2241,0.125
2242,0.02631578947368421
2243,0.14285714285714285
2244,0.06060606060606061
2245,0.0
2246,0.1
2247,0.0625
2248,0.09090909090909091
2249,0.06557377049180328
2250,0.17647058823529413
2251,0.05714285714285714
2252,0.1
2253,0.10752688172043011
2254,0.0625
2255,0.13725490196078433
2256,0.05454545454545454
2257,0.12195121951219512
2258,0.14285714285714285
2259,0.15789473684210525
2260,0.1267605633802817
2261,0.1
2262,0.09836065573770492
2263,0.08108108108108109
2264,0.11538461538461539
2265,0.06666666666666667
2266,0.06666666666666667
2267,0.11764705882352941
2268,0.0
2269,0.029411764705882353
2270,0.2
2271,0.125
2272,0.10256410256410256
2273,0.12903225806451613
2274,0.05
2275,0.15789473684210525
2276,0.07317073170731707
2277,0.04878048780487805
2278,0.05263157894736842
2279,0.0
2280,0.07692307692307693
2281,0.08888888888888889
2282,0.13636363636363635
2283,0.08888888888888889
2284,0.07692307692307693
2285,0.07142857142857142
2286,0.05263157894736842
2287,0.09090909090909091
2288,0.020833333333333332
2289,0.0784313725490196
2290,0.125
2291,0.20454545454545456
2292,0.21052631578947367
2293,0.05555555555555555
2294,0.0967741935483871
2295,0.13333333333333333
2296,0.0684931506849315
2297,0.07142857142857142
2298,0.21212121212121213
2299,0.14705882352941177
2300,0.0
2301,0.09523809523809523
2302,0.06
2303,0.12
2304,0.05
2305,0.0
2306,0.125
2307,0.11764705882352941
2308,0.125
2309,0.0
2310,0.0958904109589041
2311,0.08527131782945736
2312,0.09090909090909091
2313,0.13157894736842105
2314,0.13095238095238096
2315,0.08823529411764706
2316,0.05357142857142857
2317,0.1743119266055046
2318,0.12121212121212122
2319,0.11764705882352941
2320,0.14285714285714285
2321,0.11764705882352941
2322,0.09090909090909091
2323,0.08695652173913043
2324,0.09090909090909091
2325,0.030303030303030304
2326,0.1111111111111111
2327,0.0
2328,0.10185185185185185
2329,0.11538461538461539
2330,0.0
2331,0.13333333333333333
2332,0.041666666666666664
2333,0.0
2334,0.05555555555555555
2335,0.11764705882352941
2336,0.05555555555555555
2337,0.08571428571428572
2338,0.10344827586206896
2339,0.10526315789473684
2340,0.0
2341,0.046511627906976744
2342,0.0
2343,0.12244897959183673
2344,0.014492753623188406
2345,0.08695652173913043
2346,0.1
2347,0.12389380530973451
2348,0.1
2349,0.10256410256410256
2350,0.0
2351,0.13043478260869565
2352,0.14285714285714285
2353,0.10126582278481013
2354,0.07142857142857142
2355,0.14285714285714285
2356,0.05263157894736842
2357,0.05
2358,0.03571428571428571
2359,0.0
2360,0.1875
2361,0.08620689655172414
2362,0.06060606060606061
2363,0.1111111111111111
2364,0.08904109589041095
2365,0.08695652173913043
2366,0.07692307692307693
2367,0.17543859649122806
2368,0.14864864864864866
2369,0.21052631578947367
2370,0.13043478260869565
2371,0.08108108108108109
2372,0.1956521739130435
2373,0.08396946564885496
2374,0.06666666666666667
2375,0.05
2376,0.034482758620689655
2377,0.1111111111111111
2378,0.10204081632653061
2379,0.06382978723404255
2380,0.0963855421686747
2381,0.05555555555555555
2382,0.09523809523809523
